"Date","Home","Away","HomeWins","HPassCmp","APassCmp","HPassAtt","APassAtt","HPassPct","APassPct","HPassYds","APassYds","HPassTD","APassTD","HRushAtt","ARushAtt","HRushYds","ARushYds","HRushAvg","ARushAvg","HRushTD","ARushTD","HXPM","AXPM","HXPA","AXPA","HXPPercent","AXPPercent","HFGM","AFGM","HFGA","AFGA","HFGPercent","AFGPercent","HKickPts","AKickPts","HFum","AFum","HInt","AInt","HTotalTO","ATotalTO"
"9/4/2015","Georgia State","Charlotte",0,25,19,43,32,58.1,59.4,299,244,2,1,26,54,93,164,3.6,3,0,0,2,2,2,2,100,100,2,3,3,3,66.7,100,8,11,2,2,1,2,3,4
"9/4/2015","Western Michigan","Michigan State",0,33,15,50,31,66,48.4,365,256,2,2,23,40,18,196,0.8,4.9,0,3,3,4,3,4,100,100,1,1,2,1,50,100,6,7,0,1,2,0,2,1
"9/3/2015","Central Michigan","Oklahoma State",0,29,22,42,32,69,68.8,265,266,0,1,28,35,78,153,2.8,4.4,1,2,1,3,1,3,100,100,2,1,2,3,100,33.3,7,6,0,0,1,0,1,0
"9/3/2015","Hawaii","Colorado",1,19,23,38,40,50,57.5,202,156,3,0,34,53,100,215,2.9,4.1,0,2,2,2,2,2,100,100,2,2,2,2,100,100,8,8,0,2,2,1,2,3
"9/3/2015","Idaho","Ohio",0,36,20,48,25,75,80,297,284,1,3,28,38,100,205,3.6,5.4,2,2,2,6,2,6,100,100,2,1,2,2,100,50,8,9,1,1,2,0,3,1
"9/3/2015","Minnesota","Texas Christian",0,19,26,35,42,54.3,61.9,197,246,1,1,39,44,144,203,3.7,4.6,1,1,2,2,2,2,100,100,1,3,1,4,100,75,5,11,2,1,0,1,2,2
"9/3/2015","Tulane","Duke",0,24,29,42,44,57.1,65.9,246,324,1,2,23,49,25,206,1.1,4.2,0,1,1,4,1,4,100,100,0,3,0,3,NA,100,1,13,0,2,1,0,1,2
"9/3/2015","Utah","Michigan",1,24,27,33,43,72.7,62.8,208,279,0,2,37,29,129,76,3.5,2.6,2,0,3,2,3,2,100,100,1,1,3,2,33.3,50,6,5,0,0,1,3,1,3
"9/3/2015","Vanderbilt","Western Kentucky",0,18,19,34,30,52.9,63.3,217,209,1,1,42,23,176,37,4.2,1.6,0,1,0,2,0,2,NA,100,2,0,3,0,66.7,NA,6,2,1,0,2,0,3,0
"9/12/2015","Wisconsin","Miami (OH)",1,23,13,36,34,63.9,38.2,263,160,4,0,45,24,188,-3,4.2,-0.1,3,0,7,0,7,0,100,NA,3,0,3,1,100,0,16,0,0,1,1,3,1,4
"9/12/2015","Wyoming","Eastern Michigan",0,6,18,17,25,35.3,72,32,330,0,3,58,37,430,176,7.4,4.8,4,3,3,6,3,6,100,100,0,2,2,2,0,100,3,12,1,0,0,0,1,0
"9/11/2015","Florida Atlantic","Miami (FL)",0,19,22,34,34,55.9,64.7,166,300,1,1,33,44,223,226,6.8,5.1,1,4,2,5,2,5,100,100,2,3,3,4,66.7,75,8,14,3,0,2,0,5,0
"9/11/2015","Utah","Utah State",1,17,22,22,35,77.3,62.9,132,256,0,2,44,32,195,117,4.4,3.7,3,0,3,2,3,2,100,100,1,0,1,0,100,NA,6,2,0,1,0,2,0,3
"9/10/2015","Western Kentucky","Louisiana Tech",1,28,28,38,49,73.7,57.1,441,357,1,2,33,31,149,223,4.5,7.2,2,3,3,5,3,5,100,100,4,1,4,1,100,100,15,8,1,1,0,1,1,2
"9/7/2015","Virginia Tech","Ohio State",0,15,10,25,19,60,52.6,192,212,3,3,44,37,128,360,2.9,9.7,0,3,3,6,3,6,100,100,1,0,2,1,50,0,6,6,1,2,1,1,2,3
"9/6/2015","Marshall","Purdue",1,23,31,36,48,63.9,64.6,234,270,2,1,29,47,163,184,5.6,3.9,1,3,5,4,5,4,100,100,2,1,2,2,100,50,11,7,2,0,1,4,3,4
"9/5/2015","Eastern Michigan","Old Dominion",0,22,18,36,32,61.1,56.3,192,184,2,1,47,41,252,229,5.4,5.6,2,4,4,5,4,5,100,100,2,1,2,1,100,100,10,8,1,0,2,0,3,0
"9/5/2015","Florida","New Mexico State",1,30,14,37,28,81.1,50,382,128,4,1,42,23,224,72,5.3,3.1,4,1,7,1,8,2,87.5,50,2,0,2,0,100,NA,13,1,1,0,0,1,1,1
"9/5/2015","Florida State","Texas State",1,25,26,32,42,78.1,61.9,370,168,5,1,41,33,266,132,6.5,4,3,1,8,1,8,2,100,50,1,1,1,1,100,100,11,4,1,1,0,0,1,1
"9/5/2015","Georgia","Louisiana-Monroe",1,10,23,14,29,71.4,79.3,192,206,3,2,38,26,243,45,6.4,1.7,4,0,7,2,7,2,100,100,0,0,0,0,NA,NA,7,2,0,0,0,1,0,1
"9/5/2015","Illinois","Kent State",1,14,19,29,40,48.3,47.5,208,186,5,0,36,39,134,59,3.7,1.5,2,0,7,0,7,0,100,NA,1,1,1,2,100,50,10,3,0,1,1,3,1,4
"9/5/2015","Kentucky","Louisiana",1,16,26,34,41,47.1,63.4,257,232,3,0,26,47,178,247,6.8,5.3,2,4,4,2,5,2,80,100,2,1,3,1,66.7,100,10,5,0,2,1,2,1,4
"9/5/2015","Nebraska","Brigham Young",0,24,28,41,46,58.5,60.9,319,379,3,2,37,26,126,132,3.4,5.1,1,2,4,3,4,3,100,100,0,2,2,2,0,100,4,9,1,0,1,1,2,1
"9/5/2015","North Carolina State","Troy",1,22,14,26,21,84.6,66.7,199,184,2,1,58,25,251,121,4.3,4.8,5,2,7,3,7,3,100,100,0,0,0,0,NA,NA,7,3,0,1,0,1,0,2
"9/5/2015","Northwestern","Stanford",1,12,20,25,35,48,57.1,105,155,0,0,54,27,225,85,4.2,3.1,1,0,1,0,1,0,100,NA,3,2,4,2,75,100,10,6,0,1,0,1,0,2
"9/5/2015","Notre Dame","Texas",1,19,8,23,23,82.6,34.8,313,103,3,0,52,29,214,60,4.1,2.1,2,0,5,0,5,0,100,NA,1,1,2,2,50,50,8,3,0,0,0,0,0,0
"9/5/2015","Oklahoma","Akron",1,28,6,42,26,66.7,23.1,439,88,3,0,33,44,100,138,3,3.1,2,0,5,0,5,0,100,NA,2,1,2,2,100,50,11,3,1,1,1,0,2,1
"9/5/2015","Southern Mississippi","Mississippi State",0,30,22,44,38,68.2,57.9,311,237,1,2,36,28,102,205,2.8,7.3,0,1,1,4,1,4,100,100,3,2,3,2,100,100,10,10,0,2,2,0,2,2
"9/5/2015","Temple","Penn State",1,16,11,21,25,76.2,44,168,103,0,0,43,27,149,77,3.5,2.9,3,1,3,1,3,1,100,100,2,1,2,1,100,100,9,4,1,0,0,1,1,1
"9/5/2015","Tulsa","Florida Atlantic",1,21,23,35,35,60,65.7,424,263,2,2,51,61,194,300,3.8,4.9,4,3,5,5,5,5,100,100,2,3,3,4,66.7,75,11,14,2,0,2,0,4,0
"9/5/2015","UCLA","Virginia",1,28,21,37,35,75.7,60,351,238,3,1,34,34,152,98,4.5,2.9,1,0,4,1,4,1,100,100,2,3,3,3,66.7,100,10,10,0,0,0,1,0,1
"9/5/2015","West Virginia","Georgia Southern",1,16,2,26,13,61.5,15.4,359,29,2,0,40,57,185,195,4.6,3.4,3,0,5,0,5,0,100,NA,3,0,3,0,100,NA,14,0,0,1,0,4,0,5
"9/4/2015","Boise State","Washington",1,17,20,27,35,63,57.1,152,150,0,0,53,22,185,29,3.5,1.3,2,0,1,1,2,1,50,100,1,2,1,3,100,66.7,4,7,1,0,1,1,2,1
"9/12/2015","California","San Diego State",1,17,14,25,32,68,43.8,321,173,3,1,36,43,164,152,4.6,3.5,2,0,5,1,5,1,100,100,0,0,1,0,0,NA,5,1,0,0,1,2,1,2
"9/12/2015","Cincinnati","Temple",0,30,13,52,20,57.7,65,427,81,2,2,31,36,130,215,4.2,6,1,1,2,4,2,4,100,100,2,2,3,2,66.7,100,8,10,1,1,4,0,5,1
"9/12/2015","Clemson","Appalachian State",1,21,9,31,28,67.7,32.1,252,95,3,1,44,45,140,203,3.2,4.5,1,0,5,1,5,1,100,100,2,1,3,1,66.7,100,11,4,0,1,2,3,2,4
"9/12/2015","Colorado State","Minnesota",0,16,23,32,45,50,51.1,142,233,1,2,41,41,172,180,4.2,4.4,1,0,2,2,2,2,100,100,2,3,2,4,100,75,8,11,2,2,2,0,4,2
"9/12/2015","Connecticut","Army",1,19,3,25,8,76,37.5,270,85,0,1,46,33,145,180,3.2,5.5,2,1,1,2,2,2,50,100,3,1,3,1,100,100,10,5,1,0,0,1,1,1
"9/12/2015","Florida","East Carolina",1,15,37,25,58,60,63.8,205,346,2,3,38,22,168,-13,4.4,-0.6,1,0,4,3,4,3,100,100,1,1,3,1,33.3,100,7,6,1,2,1,1,2,3
"9/12/2015","Florida State","South Florida",1,14,12,26,24,53.8,50,163,125,1,2,46,36,278,149,6,4.1,3,0,4,2,4,2,100,100,2,0,2,0,100,NA,10,2,0,0,0,1,0,1
"9/12/2015","Georgia Southern","Western Michigan",1,1,24,4,36,25,66.7,7,227,0,2,52,26,413,25,7.9,1,5,0,5,0,5,1,100,0,2,1,2,1,100,100,11,3,0,1,0,3,0,4
"9/12/2015","Georgia Tech","Tulane",1,8,15,10,33,80,45.5,132,177,3,1,56,33,439,71,7.8,2.2,6,0,9,1,9,1,100,100,0,1,0,2,NA,50,9,4,1,1,0,1,1,2
"9/12/2015","Indiana","Florida International",1,19,24,33,47,57.6,51.1,234,283,1,3,52,33,205,123,3.9,3.7,2,0,3,2,4,2,75,100,3,0,4,0,75,NA,12,2,0,2,1,1,1,3
"9/12/2015","Iowa State","Iowa",0,19,15,35,25,54.3,60,247,215,2,3,27,45,63,260,2.3,5.8,0,1,2,4,2,4,100,100,1,1,1,1,100,100,5,7,0,1,1,0,1,1
"9/12/2015","Kansas","Memphis",0,18,24,38,27,47.4,88.9,165,370,0,2,46,52,194,281,4.2,5.4,2,5,2,7,2,7,100,100,3,2,3,2,100,100,11,13,0,3,0,0,0,3
"9/12/2015","Louisville","Houston",0,27,23,45,35,60,65.7,325,236,2,3,26,57,70,226,2.7,4,2,0,4,4,4,4,100,100,1,2,2,4,50,50,7,10,2,0,2,1,4,1
"9/12/2015","Maryland","Bowling Green State",0,16,36,33,55,48.5,65.5,185,491,2,6,26,50,156,201,6,4,0,1,3,6,3,6,100,100,2,0,2,2,100,0,9,6,1,0,3,1,4,1
"9/12/2015","Michigan","Oregon State",1,18,9,26,20,69.2,45,180,79,0,1,48,33,225,59,4.7,1.8,4,0,3,1,3,1,100,100,2,0,2,0,100,NA,9,1,1,1,1,0,2,1
"9/12/2015","Michigan State","Oregon",1,20,22,32,39,62.5,56.4,192,309,2,1,37,43,197,123,5.3,2.9,2,2,4,4,4,4,100,100,1,0,2,0,50,NA,7,4,0,0,1,2,1,2
"9/12/2015","Nebraska","South Alabama",1,26,26,38,45,68.4,57.8,303,313,3,1,37,24,258,19,7,0.8,3,0,6,0,6,0,100,NA,2,1,2,1,100,100,12,3,0,2,1,1,1,3
"9/12/2015","Nevada","Arizona",0,18,25,34,34,52.9,73.5,159,269,2,2,42,43,168,301,4,7,0,4,2,5,2,6,100,83.3,2,1,2,2,100,50,8,8,0,1,1,0,1,1
"9/12/2015","New Mexico","Tulsa",0,11,16,21,30,52.4,53.3,166,321,1,2,47,59,224,279,4.8,4.7,2,2,3,4,3,4,100,100,0,4,1,4,0,100,3,16,1,1,1,0,2,1
"9/12/2015","New Mexico State","Georgia State",0,31,32,55,43,56.4,74.4,445,372,3,2,23,46,84,210,3.7,4.6,1,2,2,4,4,4,50,100,0,2,1,3,0,66.7,2,10,0,2,1,1,1,3
"9/12/2015","Ohio","Marshall",1,15,16,28,33,53.6,48.5,156,106,1,0,51,25,229,157,4.5,6.3,2,1,3,1,3,1,100,100,0,1,1,1,0,100,3,4,1,2,1,2,2,4
"9/12/2015","Ohio State","Hawaii",1,20,8,34,26,58.8,30.8,181,85,0,0,49,35,182,80,3.7,2.3,4,0,5,0,5,0,100,NA,1,0,1,0,100,NA,8,0,0,2,0,2,0,4
"9/12/2015","Penn State","Buffalo",1,14,24,27,35,51.9,68.6,128,205,1,2,39,33,200,69,5.1,2.1,2,0,3,2,3,2,100,100,2,0,3,1,66.7,0,9,2,0,0,0,1,0,1
"9/12/2015","Rutgers","Washington State",0,23,47,29,66,79.3,71.2,204,478,1,4,37,16,198,81,5.4,5.1,1,0,2,4,3,4,66.7,100,2,3,2,3,100,100,8,13,2,0,1,0,3,0
"9/12/2015","South Carolina","Kentucky",0,17,21,27,29,63,72.4,222,192,1,0,34,38,195,207,5.7,5.4,1,3,1,3,1,3,100,100,3,1,4,1,75,100,10,6,0,0,1,1,1,1
"9/12/2015","Syracuse","Wake Forest",1,8,30,14,45,57.1,66.7,221,373,2,1,37,32,149,46,4,1.4,0,1,3,2,3,2,100,100,3,1,3,2,100,50,12,5,0,0,0,3,0,3
"9/12/2015","Tennessee","Oklahoma",0,13,19,31,39,41.9,48.7,125,187,1,3,45,48,129,161,2.9,3.4,2,1,3,4,3,4,100,100,1,1,2,1,50,100,6,7,0,0,1,2,1,2
"9/12/2015","Texas","Rice",1,5,23,10,38,50,60.5,128,234,2,2,28,58,149,228,5.3,3.9,2,2,6,4,6,4,100,100,0,0,0,0,NA,NA,6,4,1,2,0,3,1,5
"9/12/2015","Texas A&M","Ball State",1,21,12,29,27,72.4,44.4,233,121,4,0,49,38,270,240,5.5,6.3,2,2,8,2,8,2,100,100,0,3,0,3,NA,100,8,11,1,0,0,1,1,1
"9/12/2015","Vanderbilt","Georgia",0,24,13,50,25,48,52,295,141,1,0,39,41,105,282,2.7,6.9,0,2,0,4,0,4,NA,100,2,1,3,3,66.7,33.3,6,7,0,0,3,0,3,0
"9/12/2015","Virginia","Notre Dame",0,26,15,38,30,68.4,50,289,207,2,3,30,34,127,253,4.2,7.4,2,1,3,2,3,2,100,100,0,2,1,3,0,66.7,3,8,1,0,0,0,1,0
"9/19/2015","Kentucky","Florida",0,8,13,24,22,33.3,59.1,126,125,0,0,41,37,115,120,2.8,3.2,0,2,0,2,0,2,NA,100,3,0,3,1,100,0,9,2,0,0,2,1,2,1
"9/19/2015","Maryland","South Florida",1,21,10,34,22,61.8,45.5,297,60,4,1,34,50,114,240,3.4,4.8,1,1,5,2,5,2,100,100,0,1,0,1,NA,100,5,5,0,0,3,2,3,2
"9/19/2015","Miami (FL)","Nebraska",1,25,21,42,45,59.5,46.7,379,309,2,4,33,32,132,153,4,4.8,1,0,3,2,3,2,100,100,5,1,5,1,100,100,18,5,0,0,1,3,1,3
"9/19/2015","Miami (OH)","Cincinnati",0,14,22,34,40,41.2,55,228,263,4,1,41,54,220,282,5.4,5.2,0,3,3,4,4,4,75,100,2,3,2,3,100,100,9,13,0,2,1,2,1,4
